COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
ADAMS,Adams,Adams County,1,511473,Colorado Case Counts by County,Cases,3643,,06/10/2020,21043
ALAMOSA,Alamosa,Alamosa County,3,16184,Colorado Case Counts by County,Cases,107,,06/10/2020,21044
ARAPAHOE,Arapahoe,Arapahoe County,5,651342,Colorado Case Counts by County,Cases,4709,,06/10/2020,21045
ARCHULETA,Archuleta,Archuleta County,7,13737,Colorado Case Counts by County,Cases,8,,06/10/2020,21046
BACA,Baca,Baca County,9,3547,Colorado Case Counts by County,Cases,12,,06/10/2020,21047
BENT,Bent,Bent County,11,5819,Colorado Case Counts by County,Cases,3,,06/10/2020,21048
BOULDER,Boulder,Boulder County,13,325476,Colorado Case Counts by County,Cases,1031,,06/10/2020,21049
BROOMFIELD,Broomfield,Broomfield County,14,69453,Colorado Case Counts by County,Cases,258,,06/10/2020,21050
CHAFFEE,Chaffee,Chaffee County,15,20028,Colorado Case Counts by County,Cases,78,,06/10/2020,21051
CHEYENNE,Cheyenne,Cheyenne County,17,1862,Colorado Case Counts by County,Cases,5,,06/10/2020,21052
DELTA,Delta,Delta County,29,30936,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,1564,,06/10/2020,21053
DELTA,Delta,Delta County,29,30936,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,94,06/10/2020,21054
DELTA,Delta,Delta County,29,30936,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,6,06/10/2020,21055
DENVER,Denver,Denver County,31,717797,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,59687,,06/10/2020,21056
DENVER,Denver,Denver County,31,717797,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,75.3,06/10/2020,21057
DENVER,Denver,Denver County,31,717797,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by Serology,,24.7,06/10/2020,21058
DOLORES,Dolores,Dolores County,33,2053,Total COVID-19 Tests Performed in Colorado by County,Total Tests Performed,24,,06/10/2020,21059
DOLORES,Dolores,Dolores County,33,2053,Total COVID-19 Tests Performed in Colorado by County,Percent of tests by PCR,,100,06/10/2020,21060
